tsk,CRE_TSK,#tskid { .tskatr &exinf &task +itskpri .stksz &stk },,
tsk,DEF_TEX,%tskid { .texatr &texrtn },0,1
sem,CRE_SEM,#semid { .sematr .isemcnt .maxsem },,
flg,CRE_FLG,#flgid { .flgatr .iflgptn },,
dtq,CRE_DTQ,#dtqid { .dtqatr .dtqcnt &dtqmb },,
pdq,CRE_PDQ,#pdqid { .pdqatr .pdqcnt +maxdpri &pdqmb },,
mbx,CRE_MBX,#mbxid { .mbxatr +maxmpri &mprihd },,
mpf,CRE_MPF,#mpfid { .mpfatr .blkcnt .blksz &mpf &mpfmb },,
cyc,CRE_CYC,#cycid { .cycatr &exinf &cychdr .cyctim .cycphs },,
alm,CRE_ALM,#almid { .almatr &exinf &almhdr },,
ovr,DEF_OVR,{ .ovratr &ovrhdr },-1,
int,CFG_INT,.intno { .intatr +intpri },,
isr,ATT_ISR,{ .isratr &exinf .intno &isr +isrpri },-1,
inh,DEF_INH,.inhno { .inhatr &inthdr },,
exc,DEF_EXC,.excno { .excatr &exchdr },,
ics,DEF_ICS,{ .istksz &istk },-1,
ini,ATT_INI,{ .iniatr &exinf &inirtn },-1,
ter,ATT_TER,{ .teratr &exinf &terrtn },-1,
